Days to maturity;Strike;Price;Type
15;227.5;10.52;C
15;230.0;10.05;C
15;232.5;7.75;C
15;235.0;6.01;C
15;237.5;4.75;C
60;227.5;16.78;C
60;230.0;17.65;C
60;232.5;16.86;C
60;235.0;16.05;C
60;237.5;15.1;C
120;227.5;27.92;C
120;230.0;24.12;C
120;232.5;22.97;C
120;235.0;21.75;C
120;237.5;18.06;C
15;227.5;4.32;P
15;230.0;5.2;P
15;232.5;6.45;P
15;235.0;7.56;P
15;237.5;8.78;P
60;227.5;11.03;P
60;230.0;12.15;P
60;232.5;13.37;P
60;235.0;14.75;P
60;237.5;15.62;P
120;227.5;14.530628787891558;P
120;230.0;16.25;P
120;232.5;17.22;P
120;235.0;18.74;P
120;237.5;19.73;P